pic,id,type,color,source,event,year,country,state,meta,url,song,song_url,fb,instagram
bust-1-1,1,traje de baño,blanco,la fuerza storm,wss,2019,USA,NYC,"medias de red, diadema, transparente, tanga, botas altas, collar",https://youtu.be/aIGftGITM5U,heads will roll,https://open.spotify.com/track/4FRqM1mahmNdLOT9OQOr8q?si=f3421393643e4813,,
bust-2-1,2,body,negro,ladies move,euroson,2019,PER,,"tiara, bachata, botas altas, coleta, transparente",https://youtu.be/xwnxHZS7OuQ,los infieles,https://open.spotify.com/track/0vOVi2yVFFEwQnKlWqwNTn?si=J_M0FO_yRUae01g6nF44mg&dl_branch=1,,
back-3-1,3,dress,azul,stravagirls,wss,2019,ESP,MAD,"traje de baño, mangas, diadema de tela, collar, mayas de red",https://youtu.be/jFS6019dBRw,oye mi quinto,https://www.youtube.com/watch?v=RAopfFDD9a4,,
back-4-1,4,dress,red,ronald y alba,bachatea world congress,2018,ESP,,"gradiente, rojo y amarillo",https://youtu.be/wuJgalJ53Wk,hablarán de ti y de mí,https://open.spotify.com/track/7xrvTzq9Dr2maN0mSgOUlY?si=4e84b01190f84f97,,
front-5-1,5,bikini,white,Sioux ladies,euroson,2018,URY,,,https://youtu.be/kYhFtWwpx1w,Qué bueno baila usted,https://www.youtube.com/watch?v=KbE12SqPKGY,,
detail-6-1,6,bikini,blue,Abdel y Lety,Paris Bachata Festival,2018,,,"mask, blue bikini",https://youtu.be/zRK6gJJQISk,Believer / Se Me Nota,,https://www.facebook.com/Abdelyletybachata,https://www.instagram.com/abdelyletybachataflowofficial/
front-7-1,7,traje de baño,red,Amneris Martinez,Tampa Salsa & Bachata Fest,2019,pri,,swimuit red,https://youtu.be/hiFBgd0liUw,,,https://www.facebook.com/info.amnerismartinez,https://www.instagram.com/amneris.martinez/
back-8-1,8,traje de baño,red,Tropical Gem,Istanbul International Dance Festival,2019,ita,,swimsuit red,https://www.youtube.com/watch?v=ambQ3to1j0E,Vengo del monte,https://youtu.be/AA11hLXiXsc,https://www.facebook.com/tropicalgemdancecompany,https://www.instagram.com/tatiana_bonaguro_tropicalgem/
front-9-1,9,traje de baño,black,madian Carrillo,Costa Rica SBK,2019,MEX,SLP,swimsuit red,https://youtu.be/FZ9X1rkuLzc,culpo a mi mente,https://www.youtube.com/watch?v=EdtcAi3WitY,https://www.facebook.com/danceinmexico/,https://www.instagram.com/madian.carrillo/
side-10-1,10,traje de baño,red,Desireé Cruz, Fusion SalsaFest,2017,MEX,Salamanca,swimsuit red,https://youtu.be/88HVil2b_ZE,amigo,https://youtu.be/2p_eRTj5s5M,https://www.facebook.com/desiree.cruzvalenzuela,https://www.instagram.com/desireecruzv/
front-11-1,11,traje sastre,black,Mambolee Ladies,euroson,2018,,,,https://youtu.be/49oHMCw_zCk,imitadora,,,
front-12-1,12,Vestido largo,white,La alemana,Chicago Salsa & Bachata Festival,2021,GER,,,https://youtu.be/Df1c-lzA3uo,Te soñe ,,https://www.facebook.com/atacaylaalemanapage,https://www.instagram.com/laalemana_official/
bust-13-1,13,traje de baño,blue,Estilos Unidos,ESTILOS UNIDOS LATIN DANCE FESTIVAL,2019,ESP,,,https://youtu.be/49JgcY0iAvo,,,https://www.facebook.com/profile.php?id=100044280643790,https://www.instagram.com/ronaldyalba/
front-14-1,14,traje de baño,pink,Evelyn Ávila,2b Inspired Fest,2017,MEX,GDL,,https://youtu.be/0xWBgdbJqNg,,,https://www.facebook.com/profile.php?id=100003590503493,